Date,Prev Close,Open,High,Low,Last,Close,VWAP,Volume
03-01-2000,46.95,49.45,50.75,46.5,50.75,50.75,50.05,7600
04-01-2000,50.75,53.2,53.2,47.9,48,48.1,48.56,5000
05-01-2000,48.1,46.55,47.4,44.6,44.6,44.6,45.47,3500
06-01-2000,44.6,43.5,46,42.1,46,45.25,44.43,6200
07-01-2000,45.25,48,48,42,42.9,42.9,44.44,3500
10-01-2000,42.9,42.05,44.9,41,43,42.9,42.47,4700
11-01-2000,42.9,42,42,39.5,40.25,40.1,40.25,5500
12-01-2000,40.1,40,40,39,39,39,39.8,1000
13-01-2000,39,40,41,38.5,39.5,39.5,39.37,1000
14-01-2000,39.5,39,40.5,39,39.9,39.9,39.72,1700
17-01-2000,39.9,39.05,41,38.4,39.2,39.2,39.84,3100
18-01-2000,39.2,39.5,40,38.05,38.3,38.3,39.2,3000
19-01-2000,38.3,40.9,41.4,39.25,41.4,41.4,40.57,4500
20-01-2000,41.4,42,44.5,42,43,43,43.68,6400
21-01-2000,43,46.4,46.4,42,42.95,42.95,42.63,3100
24-01-2000,42.95,42.5,43,40.05,40.05,40.05,41.3,3100
25-01-2000,40.05,39.2,40,36.85,38.6,37.7,38.41,6400
27-01-2000,37.7,38.9,40.7,37.55,39,39,39.38,7600
28-01-2000,39,40,40,38.05,38.15,38.65,38.55,3700
31-01-2000,38.65,38,38,37,37,37.05,37.25,3500
01-02-2000,37.05,37,38.4,36,36,36.05,36.71,6300
02-02-2000,36.05,35,37.75,35,37.7,37.7,36.01,4000
03-02-2000,37.7,37.9,40,36.55,37.2,37.2,37.66,4800
04-02-2000,37.2,37.8,38.35,37.1,38.35,37.95,37.69,3000
07-02-2000,37.95,37.35,40.2,37.35,38.25,38.75,39.09,5400
08-02-2000,38.75,39.9,41.7,38,39.5,38.7,38.48,5100
09-02-2000,38.7,41.6,41.8,40.9,41.8,41.8,41.67,7100
10-02-2000,41.8,45.15,45.15,42.65,45.15,45.15,43.91,13200
11-02-2000,45.15,48.8,48.8,48,48.8,48.8,48.73,10700
14-02-2000,48.8,50.75,50.75,44.9,44.9,44.9,47.09,4800
15-02-2000,44.9,42.05,43,41.35,41.35,41.35,41.69,6200
16-02-2000,41.35,38.3,41.5,38.3,39.95,39.7,40.54,6000
17-02-2000,39.7,38.7,42.8,38.7,41.7,41.4,40.69,4600
18-02-2000,41.4,40,41.85,39.5,41,40.8,40.5,4200
21-02-2000,40.8,39,41.5,38.1,39.5,40,39.67,7300
22-02-2000,40,40.1,41,38.15,38.15,38.2,39.31,9500
23-02-2000,38.2,40,41.25,38.45,40.25,40.2,40.18,5900
24-02-2000,40.2,40,43.45,38.9,41.05,42.6,40.88,8500
25-02-2000,42.6,44.5,44.95,40,40.25,40.65,41.46,6200
28-02-2000,40.65,40,40.9,39,40.85,40.85,39.74,6300
29-02-2000,40.85,41,41.35,37.6,37.6,38.2,39.6,6400
01-03-2000,38.2,39.9,41,39,39.35,39.85,40.38,3700
02-03-2000,39.85,39,40,38.15,38.25,38.25,38.68,3900
03-03-2000,38.25,35.25,37.4,35.25,37,37,36.39,5600
06-03-2000,37,36.05,37.95,34.25,34.35,34.35,35.42,4400
07-03-2000,34.35,34,35.45,32.45,33.6,33.65,33.78,6300
08-03-2000,33.65,33.5,36.25,33.5,36.25,36,34.96,3300
09-03-2000,36,37,37.9,33.5,34,34,34.66,7100
10-03-2000,34,33.5,35.9,33.5,35.9,35.85,34.8,2100
13-03-2000,35.85,34.1,35.95,34.05,35.45,35.45,34.81,1600
14-03-2000,35.45,33.1,34.75,32.65,32.65,33.15,33.41,4400
15-03-2000,33.15,35.25,35.8,34.25,35.8,35.8,35.13,2700
16-03-2000,35.8,38.45,38.55,35.85,38.5,38.5,37.68,6100
21-03-2000,38.5,38,38,35.45,35.45,35.45,35.94,6000
22-03-2000,35.45,35.9,36.5,35.55,35.65,35.65,36.1,1300
23-03-2000,35.65,35.5,35.75,34.55,34.55,34.55,35.15,2600
24-03-2000,34.55,34.25,35.4,34.25,35.3,35,34.89,2900
27-03-2000,35,35.45,35.5,34.5,34.55,34.55,34.97,2700
